config_id,architecture,mapping,precision,attention,accuracy,latency_s,is_pareto
swin_t_architecture_aware_aggressive_qkt_only,swin_t,architecture_aware,aggressive,qkt_only,95.3125,28.79159426689148,True
swin_t_architecture_aware_conservative_softmax_only,swin_t,architecture_aware,conservative,softmax_only,95.3125,29.05648899078369,False
swin_t_architecture_aware_balanced_qkt_only,swin_t,architecture_aware,balanced,qkt_only,95.3125,29.158838510513306,False
swin_t_architecture_aware_conservative_all,swin_t,architecture_aware,conservative,all,95.3125,29.15905475616455,False
swin_t_conventional_conservative_softmax_only,swin_t,conventional,conservative,softmax_only,95.3125,29.18248724937439,False
swin_t_architecture_aware_balanced_softmax_only,swin_t,architecture_aware,balanced,softmax_only,95.3125,29.21731185913086,False
swin_t_conventional_balanced_all,swin_t,conventional,balanced,all,95.3125,29.225291967391968,False
swin_t_conventional_aggressive_all,swin_t,conventional,aggressive,all,95.3125,29.241613626480103,False
swin_t_architecture_aware_aggressive_softmax_only,swin_t,architecture_aware,aggressive,softmax_only,95.3125,29.303590774536133,False
swin_t_conventional_conservative_qkt_only,swin_t,conventional,conservative,qkt_only,95.3125,29.3084454536438,False
swin_t_conventional_balanced_softmax_only,swin_t,conventional,balanced,softmax_only,95.3125,29.559972524642944,False
swin_t_conventional_aggressive_softmax_only,swin_t,conventional,aggressive,softmax_only,95.3125,29.62460494041443,False
swin_t_architecture_aware_balanced_all,swin_t,architecture_aware,balanced,all,95.3125,29.813796758651733,False
swin_t_conventional_conservative_all,swin_t,conventional,conservative,all,95.3125,29.816410541534424,False
swin_t_conventional_balanced_qkt_only,swin_t,conventional,balanced,qkt_only,95.3125,29.927425384521484,False
swin_t_architecture_aware_aggressive_all,swin_t,architecture_aware,aggressive,all,95.3125,29.96558713912964,False
swin_t_conventional_aggressive_qkt_only,swin_t,conventional,aggressive,qkt_only,95.3125,30.16697907447815,False
swin_t_architecture_aware_conservative_qkt_only,swin_t,architecture_aware,conservative,qkt_only,95.3125,30.28618359565735,False
vit_b_architecture_aware_conservative_none,vit_b,architecture_aware,conservative,none,93.75,48.00410509109497,False
vit_b_conventional_aggressive_none,vit_b,conventional,aggressive,none,93.75,48.01615500450134,False
vit_b_architecture_aware_aggressive_none,vit_b,architecture_aware,aggressive,none,93.75,48.09372663497925,False
vit_b_conventional_conservative_none,vit_b,conventional,conservative,none,93.75,48.287256479263306,False
vit_b_conventional_balanced_none,vit_b,conventional,balanced,none,93.75,48.356775999069214,False
vit_b_architecture_aware_balanced_none,vit_b,architecture_aware,balanced,none,93.75,48.528281927108765,False
swin_t_conventional_standard_softmax_only,swin_t,conventional,standard,softmax_only,92.1875,26.58409571647644,True
