config_id,model,buffer_kb,gamma,spill_dest,noc_bytes_mb,intermediate_bytes_mb,spill_bytes_mb,E_kernel_mJ,E_spill_mJ,E_total_mJ,reduction_vs_baseline_percent
baseline_swin,swin_t,4,0.300,noc,71.918078,21.575423,21.571517,0.894196000,0.022619375,0.916815375,0.000
baseline_swin,swin_t,4,0.300,dram,71.918078,21.575423,21.571517,0.894196000,0.678581252,1.572777252,0.000
baseline_swin,swin_t,8,0.300,noc,71.918078,21.575423,21.567611,0.894196000,0.022615279,0.916811279,0.000
baseline_swin,swin_t,8,0.300,dram,71.918078,21.575423,21.567611,0.894196000,0.678458372,1.572654372,0.000
baseline_swin,swin_t,16,0.300,noc,71.918078,21.575423,21.559798,0.894196000,0.022607087,0.916803087,0.000
baseline_swin,swin_t,16,0.300,dram,71.918078,21.575423,21.559798,0.894196000,0.678212612,1.572408612,0.000
baseline_swin,swin_t,32,0.300,noc,71.918078,21.575423,21.544173,0.894196000,0.022590703,0.916786703,0.000
baseline_swin,swin_t,32,0.300,dram,71.918078,21.575423,21.544173,0.894196000,0.677721092,1.571917092,0.000
baseline_swin,swin_t,4,0.500,noc,71.918078,35.959039,35.955133,0.894196000,0.037701689,0.931897689,0.000
baseline_swin,swin_t,4,0.500,dram,71.918078,35.959039,35.955133,0.894196000,1.131050673,2.025246673,0.000
baseline_swin,swin_t,8,0.500,noc,71.918078,35.959039,35.951226,0.894196000,0.037697593,0.931893593,0.000
baseline_swin,swin_t,8,0.500,dram,71.918078,35.959039,35.951226,0.894196000,1.130927793,2.025123793,0.000
baseline_swin,swin_t,16,0.500,noc,71.918078,35.959039,35.943414,0.894196000,0.037689401,0.931885401,0.000
baseline_swin,swin_t,16,0.500,dram,71.918078,35.959039,35.943414,0.894196000,1.130682033,2.024878033,0.000
baseline_swin,swin_t,32,0.500,noc,71.918078,35.959039,35.927789,0.894196000,0.037673017,0.931869017,0.000
baseline_swin,swin_t,32,0.500,dram,71.918078,35.959039,35.927789,0.894196000,1.130190513,2.024386513,0.000
baseline_swin,swin_t,4,0.700,noc,71.918078,50.342654,50.338748,0.894196000,0.052784003,0.946980003,0.000
baseline_swin,swin_t,4,0.700,dram,71.918078,50.342654,50.338748,0.894196000,1.583520094,2.477716094,0.000
baseline_swin,swin_t,8,0.700,noc,71.918078,50.342654,50.334842,0.894196000,0.052779907,0.946975907,0.000
baseline_swin,swin_t,8,0.700,dram,71.918078,50.342654,50.334842,0.894196000,1.583397214,2.477593214,0.000
baseline_swin,swin_t,16,0.700,noc,71.918078,50.342654,50.327029,0.894196000,0.052771715,0.946967715,0.000
baseline_swin,swin_t,16,0.700,dram,71.918078,50.342654,50.327029,0.894196000,1.583151454,2.477347454,0.000
baseline_swin,swin_t,32,0.700,noc,71.918078,50.342654,50.311404,0.894196000,0.052755331,0.946951331,0.000
baseline_swin,swin_t,32,0.700,dram,71.918078,50.342654,50.311404,0.894196000,1.582659934,2.476855934,0.000
mapping_swin,swin_t,4,0.300,noc,61.130366,18.339110,18.335204,0.894196000,0.019225854,0.913421854,0.370
mapping_swin,swin_t,4,0.300,dram,61.130366,18.339110,18.335204,0.894196000,0.576775632,1.470971632,6.473
mapping_swin,swin_t,8,0.300,noc,61.130366,18.339110,18.331297,0.894196000,0.019221758,0.913417758,0.370
mapping_swin,swin_t,8,0.300,dram,61.130366,18.339110,18.331297,0.894196000,0.576652752,1.470848752,6.473
mapping_swin,swin_t,16,0.300,noc,61.130366,18.339110,18.323485,0.894196000,0.019213566,0.913409566,0.370
mapping_swin,swin_t,16,0.300,dram,61.130366,18.339110,18.323485,0.894196000,0.576406992,1.470602992,6.475
mapping_swin,swin_t,32,0.300,noc,61.130366,18.339110,18.307860,0.894196000,0.019197182,0.913393182,0.370
mapping_swin,swin_t,32,0.300,dram,61.130366,18.339110,18.307860,0.894196000,0.575915472,1.470111472,6.477
mapping_swin,swin_t,4,0.500,noc,61.130366,30.565183,30.561277,0.894196000,0.032045821,0.926241821,0.607
mapping_swin,swin_t,4,0.500,dram,61.130366,30.565183,30.561277,0.894196000,0.961374640,1.855570640,8.378
mapping_swin,swin_t,8,0.500,noc,61.130366,30.565183,30.557370,0.894196000,0.032041725,0.926237725,0.607
mapping_swin,swin_t,8,0.500,dram,61.130366,30.565183,30.557370,0.894196000,0.961251760,1.855447760,8.379
mapping_swin,swin_t,16,0.500,noc,61.130366,30.565183,30.549558,0.894196000,0.032033533,0.926229533,0.607
mapping_swin,swin_t,16,0.500,dram,61.130366,30.565183,30.549558,0.894196000,0.961006000,1.855202000,8.380
mapping_swin,swin_t,32,0.500,noc,61.130366,30.565183,30.533933,0.894196000,0.032017149,0.926213149,0.607
mapping_swin,swin_t,32,0.500,dram,61.130366,30.565183,30.533933,0.894196000,0.960514480,1.854710480,8.382
mapping_swin,swin_t,4,0.700,noc,61.130366,42.791256,42.787350,0.894196000,0.044865788,0.939061788,0.836
mapping_swin,swin_t,4,0.700,dram,61.130366,42.791256,42.787350,0.894196000,1.345973648,2.240169648,9.587
mapping_swin,swin_t,8,0.700,noc,61.130366,42.791256,42.783444,0.894196000,0.044861692,0.939057692,0.836
mapping_swin,swin_t,8,0.700,dram,61.130366,42.791256,42.783444,0.894196000,1.345850768,2.240046768,9.588
mapping_swin,swin_t,16,0.700,noc,61.130366,42.791256,42.775631,0.894196000,0.044853500,0.939049500,0.836
mapping_swin,swin_t,16,0.700,dram,61.130366,42.791256,42.775631,0.894196000,1.345605008,2.239801008,9.589
mapping_swin,swin_t,32,0.700,noc,61.130366,42.791256,42.760006,0.894196000,0.044837116,0.939033116,0.836
mapping_swin,swin_t,32,0.700,dram,61.130366,42.791256,42.760006,0.894196000,1.345113488,2.239309488,9.591
full_opt_swin,swin_t,4,0.300,noc,59.907759,17.972328,17.968421,0.894196000,0.018841255,0.913037255,0.412
full_opt_swin,swin_t,4,0.300,dram,59.907759,17.972328,17.968421,0.894196000,0.565237662,1.459433662,7.207
full_opt_swin,swin_t,8,0.300,noc,59.907759,17.972328,17.964515,0.894196000,0.018837159,0.913033159,0.412
full_opt_swin,swin_t,8,0.300,dram,59.907759,17.972328,17.964515,0.894196000,0.565114782,1.459310782,7.207
full_opt_swin,swin_t,16,0.300,noc,59.907759,17.972328,17.956703,0.894196000,0.018828967,0.913024967,0.412
full_opt_swin,swin_t,16,0.300,dram,59.907759,17.972328,17.956703,0.894196000,0.564869022,1.459065022,7.208
full_opt_swin,swin_t,32,0.300,noc,59.907759,17.972328,17.941078,0.894196000,0.018812583,0.913008583,0.412
full_opt_swin,swin_t,32,0.300,dram,59.907759,17.972328,17.941078,0.894196000,0.564377502,1.458573502,7.211
full_opt_swin,swin_t,4,0.500,noc,59.907759,29.953879,29.949973,0.894196000,0.031404823,0.925600823,0.676
full_opt_swin,swin_t,4,0.500,dram,59.907759,29.953879,29.949973,0.894196000,0.942144689,1.836340689,9.328
full_opt_swin,swin_t,8,0.500,noc,59.907759,29.953879,29.946067,0.894196000,0.031400727,0.925596727,0.676
full_opt_swin,swin_t,8,0.500,dram,59.907759,29.953879,29.946067,0.894196000,0.942021809,1.836217809,9.328
full_opt_swin,swin_t,16,0.500,noc,59.907759,29.953879,29.938254,0.894196000,0.031392535,0.925588535,0.676
full_opt_swin,swin_t,16,0.500,dram,59.907759,29.953879,29.938254,0.894196000,0.941776049,1.835972049,9.329
full_opt_swin,swin_t,32,0.500,noc,59.907759,29.953879,29.922629,0.894196000,0.031376151,0.925572151,0.676
full_opt_swin,swin_t,32,0.500,dram,59.907759,29.953879,29.922629,0.894196000,0.941284529,1.835480529,9.332
full_opt_swin,swin_t,4,0.700,noc,59.907759,41.935431,41.931525,0.894196000,0.043968391,0.938164391,0.931
full_opt_swin,swin_t,4,0.700,dram,59.907759,41.935431,41.931525,0.894196000,1.319051717,2.213247717,10.674
full_opt_swin,swin_t,8,0.700,noc,59.907759,41.935431,41.927619,0.894196000,0.043964295,0.938160295,0.931
full_opt_swin,swin_t,8,0.700,dram,59.907759,41.935431,41.927619,0.894196000,1.318928837,2.213124837,10.674
full_opt_swin,swin_t,16,0.700,noc,59.907759,41.935431,41.919806,0.894196000,0.043956103,0.938152103,0.931
full_opt_swin,swin_t,16,0.700,dram,59.907759,41.935431,41.919806,0.894196000,1.318683077,2.212879077,10.675
full_opt_swin,swin_t,32,0.700,noc,59.907759,41.935431,41.904181,0.894196000,0.043939719,0.938135719,0.931
full_opt_swin,swin_t,32,0.700,dram,59.907759,41.935431,41.904181,0.894196000,1.318191557,2.212387557,10.678
